Country,IE ,Date,Dollars
Afghanistan,Import,1960,37000000
Afghanistan,Import,1961,56000000
Afghanistan,Import,1962,64000000
Afghanistan,Import,1963,39000000
Afghanistan,Import,1964,56000000
Afghanistan,Import,1965,88000000
Afghanistan,Import,1966,201000000
Afghanistan,Import,1967,236000000
Afghanistan,Import,1968,145000000
Afghanistan,Import,1969,92000000
Afghanistan,Import,1970,9000000
Afghanistan,Import,1971,135000000
Afghanistan,Import,1972,110000000
Afghanistan,Import,1973,
Afghanistan,Import,1974,
Afghanistan,Import,1975,90000000
Afghanistan,Import,1976,230000000
Afghanistan,Import,1977,74000000
Afghanistan,Import,1978,329000000
Afghanistan,Import,1979,359000000
Afghanistan,Import,1980,370000000
Afghanistan,Import,1981,388000000
Afghanistan,Import,1982,256000000
Afghanistan,Import,1983,240000000
Afghanistan,Import,1984,383000000
Afghanistan,Import,1985,149000000
Afghanistan,Import,1986,298000000
Afghanistan,Import,1987,531000000
Afghanistan,Import,1988,1022000000
Afghanistan,Import,1989,2160000000
Afghanistan,Import,1990,2012000000
Afghanistan,Import,1991,1331000000
Afghanistan,Import,1992,
Afghanistan,Import,1993,
Afghanistan,Import,1994,
Afghanistan,Import,1995,
Afghanistan,Import,1996,
Afghanistan,Import,1997,
Afghanistan,Import,1998,
Afghanistan,Import,1999,
Afghanistan,Import,2000,
Afghanistan,Import,2001,
Afghanistan,Import,2002,34000000
Afghanistan,Import,2003,
Afghanistan,Import,2004,
Afghanistan,Import,2005,42000000
Afghanistan,Import,2006,3000000
Afghanistan,Import,2007,41000000
Afghanistan,Import,2008,152000000
Afghanistan,Import,2009,344000000
Afghanistan,Import,2010,407000000
Albania,,1960,59000000
Albania,,1961,76000000
Albania,,1962,49000000
Albania,,1963,11000000
Albania,,1964,7000000
Albania,,1965,189000000
Albania,,1966,82000000
Albania,,1967,181000000
Albania,,1968,288000000
Albania,,1969,312000000
Albania,,1970,265000000
Albania,,1971,349000000
Albania,,1972,150000000
Albania,,1973,111000000
Albania,,1974,142000000
Albania,,1975,57000000
Albania,,1976,5000000
Albania,,1977,7000000
Albania,,1978,5000000
Albania,,1979,
Albania,,1980,2000000
Albania,,1981,
Albania,,1982,
Albania,,1983,
Albania,,1984,
Albania,,1985,
Albania,,1986,
Albania,,1987,
Albania,,1988,
Albania,,1989,
Albania,,1990,
Albania,,1991,
Albania,,1992,
Albania,,1993,
Albania,,1994,
Albania,,1995,21000000
Albania,,1996,
Albania,,1997,
Albania,,1998,
Albania,,1999,
Albania,,2000,
Albania,,2001,
Albania,,2002,
Albania,,2003,2000000
Albania,,2004,
Albania,,2005,42000000
Albania,,2006,
Albania,,2007,5000000
Albania,,2008,13000000
Albania,,2009,25000000
Albania,,2010,13000000
Algeria,,1960,
Algeria,,1961,7000000
Algeria,,1962,62000000
Algeria,,1963,86000000
Algeria,,1964,153000000
Algeria,,1965,325000000
Algeria,,1966,459000000
Algeria,,1967,542000000
Algeria,,1968,48000000
Algeria,,1969,78000000
Algeria,,1970,26000000
Algeria,,1971,25000000
Algeria,,1972,169000000
Algeria,,1973,99000000
Algeria,,1974,13000000
Algeria,,1975,56000000
Algeria,,1976,119000000
Algeria,,1977,1042000000
Algeria,,1978,1508000000
Algeria,,1979,1961000000
Algeria,,1980,1315000000
Algeria,,1981,1218000000
Algeria,,1982,1311000000
Algeria,,1983,584000000
Algeria,,1984,510000000
Algeria,,1985,269000000
Algeria,,1986,155000000
Algeria,,1987,370000000
Algeria,,1988,320000000
Algeria,,1989,455000000
Algeria,,1990,729000000
Algeria,,1991,1004000000
Algeria,,1992,18000000
Algeria,,1993,17000000
Algeria,,1994,176000000
Algeria,,1995,271000000
Algeria,,1996,80000000
Algeria,,1997,35000000
Algeria,,1998,103000000
Algeria,,1999,409000000
Algeria,,2000,415000000
Algeria,,2001,532000000
Algeria,,2002,234000000
Algeria,,2003,193000000
Algeria,,2004,236000000
Algeria,,2005,155000000
Algeria,,2006,304000000
Algeria,,2007,471000000
Algeria,,2008,1424000000
Algeria,,2009,1121000000
Algeria,,2010,791000000
Angola,,1960,
Angola,,1961,
Angola,,1962,
Angola,,1963,
Angola,,1964,
Angola,,1965,
Angola,,1966,
Angola,,1967,
Angola,,1968,
Angola,,1969,
Angola,,1970,
Angola,,1971,
Angola,,1972,
Angola,,1973,
Angola,,1974,1000000
Angola,,1975,257000000
Angola,,1976,149000000
Angola,,1977,102000000
Angola,,1978,144000000
Angola,,1979,108000000
Angola,,1980,168000000
Angola,,1981,252000000
Angola,,1982,391000000
Angola,,1983,563000000
Angola,,1984,460000000
Angola,,1985,507000000
Angola,,1986,751000000
Angola,,1987,1207000000
Angola,,1988,969000000
Angola,,1989,142000000
Angola,,1990,140000000
Angola,,1991,
Angola,,1992,
Angola,,1993,125000000
Angola,,1994,94000000
Angola,,1995,1000000
Angola,,1996,43000000
Angola,,1997,7000000
Angola,,1998,154000000
Angola,,1999,363000000
Angola,,2000,145000000
Angola,,2001,157000000
Angola,,2002,151000000
Angola,,2003,47000000
Angola,,2004,9000000
Angola,,2005,40000000
Angola,,2006,7000000
Angola,,2007,25000000
Angola,,2008,29000000
Angola,,2009,20000000
Angola,,2010,
Argentina,,1960,99000000
Argentina,,1961,202000000
Argentina,,1962,60000000
Argentina,,1963,20000000
Argentina,,1964,19000000
Argentina,,1965,7000000
Argentina,,1966,86000000
Argentina,,1967,129000000
Argentina,,1968,424000000
Argentina,,1969,225000000
Argentina,,1970,254000000
Argentina,,1971,348000000
Argentina,,1972,391000000
Argentina,,1973,231000000
Argentina,,1974,461000000
Argentina,,1975,173000000
Argentina,,1976,533000000
Argentina,,1977,194000000
Argentina,,1978,547000000
Argentina,,1979,445000000
Argentina,,1980,457000000
Argentina,,1981,848000000
Argentina,,1982,390000000
Argentina,,1983,1287000000
Argentina,,1984,709000000
Argentina,,1985,472000000
Argentina,,1986,225000000
Argentina,,1987,218000000
Argentina,,1988,68000000
Argentina,,1989,12000000
Argentina,,1990,170000000
Argentina,,1991,2000000
Argentina,,1992,28000000
Argentina,,1993,14000000
Argentina,,1994,209000000
Argentina,,1995,43000000
Argentina,,1996,38000000
Argentina,,1997,112000000
Argentina,,1998,172000000
Argentina,,1999,267000000
Argentina,,2000,208000000
Argentina,,2001,6000000
Argentina,,2002,16000000
Argentina,,2003,12000000
Argentina,,2004,165000000
Argentina,,2005,3000000
Argentina,,2006,9000000
Argentina,,2007,24000000
Argentina,,2008,23000000
Argentina,,2009,16000000
Argentina,,2010,17000000
Armenia,,1960,
Armenia,,1961,
Armenia,,1962,
Armenia,,1963,
Armenia,,1964,
Armenia,,1965,
Armenia,,1966,
Armenia,,1967,
Armenia,,1968,
Armenia,,1969,
Armenia,,1970,
Armenia,,1971,
Armenia,,1972,
Armenia,,1973,
Armenia,,1974,
Armenia,,1975,
Armenia,,1976,
Armenia,,1977,
Armenia,,1978,
Armenia,,1979,
Armenia,,1980,
Armenia,,1981,
Armenia,,1982,
Armenia,,1983,
Armenia,,1984,
Armenia,,1985,
Armenia,,1986,
Armenia,,1987,
Armenia,,1988,
Armenia,,1989,
Armenia,,1990,
Armenia,,1991,
Armenia,,1992,
Armenia,,1993,3000000
Armenia,,1994,304000000
Armenia,,1995,46000000
Armenia,,1996,96000000
Armenia,,1997,
Armenia,,1998,
Armenia,,1999,2000000
Armenia,,2000,
Armenia,,2001,
Armenia,,2002,
Armenia,,2003,
Armenia,,2004,120000000
Armenia,,2005,
