Country,IE,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010
Afghanistan,Import,37000000,56000000,64000000,39000000,56000000,88000000,201000000,236000000,145000000,92000000,9000000,135000000,110000000,,,90000000,230000000,74000000,329000000,359000000,370000000,388000000,256000000,240000000,383000000,149000000,298000000,531000000,1022000000,2160000000,2012000000,1331000000,,,,,,,,,,,34000000,,,42000000,3000000,41000000,152000000,344000000,407000000
Albania,Import,59000000,76000000,49000000,11000000,7000000,189000000,82000000,181000000,288000000,312000000,265000000,349000000,150000000,111000000,142000000,57000000,5000000,7000000,5000000,,2000000,,,,,,,,,,,,,,,21000000,,,,,,,,2000000,,42000000,,5000000,13000000,25000000,13000000
Algeria,Import,,7000000,62000000,86000000,153000000,325000000,459000000,542000000,48000000,78000000,26000000,25000000,169000000,99000000,13000000,56000000,119000000,1042000000,1508000000,1961000000,1315000000,1218000000,1311000000,584000000,510000000,269000000,155000000,370000000,320000000,455000000,729000000,1004000000,18000000,17000000,176000000,271000000,80000000,35000000,103000000,409000000,415000000,532000000,234000000,193000000,236000000,155000000,304000000,471000000,1424000000,1121000000,791000000
Andorra,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Import,,,,,,,,,,,,,,,1000000,257000000,149000000,102000000,144000000,108000000,168000000,252000000,391000000,563000000,460000000,507000000,751000000,1207000000,969000000,142000000,140000000,,,125000000,94000000,1000000,43000000,7000000,154000000,363000000,145000000,157000000,151000000,47000000,9000000,40000000,7000000,25000000,29000000,20000000,
Antigua and Barbuda,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Import,99000000,202000000,60000000,20000000,19000000,7000000,86000000,129000000,424000000,225000000,254000000,348000000,391000000,231000000,461000000,173000000,533000000,194000000,547000000,445000000,457000000,848000000,390000000,1287000000,709000000,472000000,225000000,218000000,68000000,12000000,170000000,2000000,28000000,14000000,209000000,43000000,38000000,112000000,172000000,267000000,208000000,6000000,16000000,12000000,165000000,3000000,9000000,24000000,23000000,16000000,17000000
Armenia,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,304000000,46000000,96000000,,,2000000,,,,,120000000,,,1000000,,36000000,36000000
Aruba,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Import,104000000,35000000,719000000,190000000,514000000,909000000,703000000,772000000,445000000,917000000,235000000,261000000,58000000,701000000,898000000,109000000,87000000,275000000,1036000000,196000000,406000000,414000000,143000000,675000000,661000000,526000000,829000000,609000000,763000000,707000000,347000000,208000000,368000000,458000000,269000000,149000000,587000000,35000000,528000000,650000000,399000000,1213000000,659000000,815000000,502000000,467000000,680000000,628000000,384000000,684000000,1677000000
Austria,Import,11000000,22000000,11000000,24000000,74000000,78000000,61000000,48000000,1000000,12000000,108000000,135000000,103000000,58000000,65000000,93000000,65000000,51000000,,16000000,191000000,88000000,107000000,145000000,13000000,28000000,19000000,7000000,115000000,84000000,5000000,6000000,5000000,9000000,38000000,23000000,10000000,178000000,212000000,48000000,25000000,15000000,70000000,43000000,55000000,22000000,2000000,305000000,220000000,330000000,5000000
Azerbaijan,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000000,49000000,25000000,,,,,,3000000,,92000000,,3000000,45000000,148000000,210000000,29000000,143000000,62000000
Bahamas,Import,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,17000000,,,,2000000,3000000,,,,,,,,,54000000,,,,,,,,,1000000,
Bahrain,Import,,,,,,1000000,1000000,,,,,0,6000000,0,1000000,,,2000000,9000000,8000000,20000000,57000000,60000000,10000000,131000000,63000000,100000000,241000000,137000000,66000000,362000000,65000000,37000000,0,7000000,67000000,190000000,78000000,6000000,,299000000,31000000,58000000,6000000,10000000,63000000,63000000,26000000,20000000,,71000000
Bangladesh,Import,,,,,,,,,,,,8000000,2000000,78000000,44000000,34000000,66000000,69000000,38000000,1000000,63000000,67000000,114000000,168000000,86000000,59000000,5000000,,242000000,304000000,195000000,99000000,114000000,43000000,57000000,122000000,5000000,25000000,,188000000,207000000,191000000,38000000,9000000,34000000,9000000,214000000,73000000,13000000,,45000000
Barbados,Import,,,,,,,,,,,,,,,,,,,,,,9000000,,,1000000,,,,,,,,,,,,,,,,,,,,,,,13000000,13000000,13000000,
Belarus,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41000000,41000000,,,,,,6000000,254000000,,,3000000,
Belgium,Import,141000000,88000000,62000000,706000000,750000000,558000000,92000000,31000000,212000000,223000000,528000000,509000000,517000000,579000000,85000000,134000000,225000000,202000000,387000000,797000000,586000000,521000000,436000000,579000000,567000000,283000000,95000000,102000000,418000000,215000000,319000000,133000000,48000000,76000000,49000000,16000000,4000000,57000000,67000000,73000000,39000000,35000000,62000000,27000000,18000000,0,21000000,170000000,200000000,90000000,30000000
Belize,Import,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,0,,,,1000000,,,,,,,,,,
Benin,Import,,2000000,1000000,,2000000,,1000000,,,,0,2000000,,1000000,,,,,26000000,7000000,,,10000000,3000000,1000000,5000000,,1000000,0,0,,,,,,,,,,,,,7000000,,,,,2000000,,1000000,0
Bermuda,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,Import,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
Bolivia,Import,6000000,3000000,2000000,4000000,4000000,1000000,1000000,14000000,17000000,1000000,2000000,3000000,10000000,10000000,20000000,33000000,16000000,1000000,10000000,32000000,57000000,22000000,6000000,,2000000,27000000,18000000,,56000000,66000000,,10000000,24000000,12000000,9000000,2000000,,,,9000000,19000000,,,5000000,1000000,1000000,8000000,2000000,3000000,5000000,1000000
Bosnia and Herzegovina,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,6000000,,55000000,70000000,2000000,25000000,,,,,,,,,,,
Botswana,Import,,,,,,,,,,,,,,,,,,2000000,1000000,8000000,2000000,8000000,,,,4000000,,22000000,33000000,1000000,22000000,3000000,2000000,11000000,,10000000,31000000,71000000,2000000,,52000000,15000000,1000000,9000000,8000000,,,,,10000000,10000000
Brazil,Import,240000000,230000000,53000000,120000000,22000000,148000000,56000000,218000000,142000000,203000000,231000000,135000000,477000000,581000000,248000000,518000000,552000000,506000000,765000000,354000000,344000000,85000000,69000000,100000000,125000000,89000000,155000000,251000000,135000000,761000000,149000000,168000000,90000000,57000000,335000000,247000000,547000000,476000000,244000000,364000000,121000000,529000000,224000000,110000000,81000000,223000000,197000000,211000000,200000000,165000000,314000000
Brunei,Import,,,,,,5000000,1000000,18000000,1000000,,5000000,19000000,2000000,1000000,16000000,1000000,0,,46000000,65000000,,8000000,13000000,77000000,49000000,,13000000,,,,3000000,3000000,,,,,17000000,31000000,7000000,5000000,,3000000,0,0,0,1000000,2000000,,,40000000,40000000
Bulgaria,Import,475000000,525000000,494000000,515000000,330000000,382000000,219000000,330000000,251000000,533000000,705000000,399000000,479000000,308000000,302000000,385000000,399000000,526000000,905000000,360000000,629000000,975000000,562000000,491000000,683000000,596000000,967000000,430000000,239000000,399000000,744000000,338000000,44000000,1000000,1000000,1000000,122000000,,,7000000,,,,2000000,12000000,149000000,22000000,47000000,124000000,129000000,17000000
Burkina Faso,Import,,1000000,,,1000000,0,0,,0,1000000,1000000,1000000,,,,8000000,8000000,9000000,,,0,9000000,1000000,16000000,9000000,2000000,2000000,,12000000,,,3000000,,7000000,,,,,,0,,,,,,19000000,1000000,4000000,,2000000,
Burundi,Import,,,,,,,5000000,2000000,,3000000,,,,0,,,,,,,1000000,5000000,3000000,8000000,2000000,,,,,6000000,6000000,,,,,,,,,,,1000000,4000000,,,,,,,2000000,
Cambodia,Import,1000000,4000000,9000000,8000000,40000000,39000000,38000000,21000000,15000000,17000000,6000000,18000000,99000000,110000000,23000000,,,,42000000,,38000000,,,13000000,76000000,75000000,139000000,55000000,10000000,113000000,44000000,,,2000000,73000000,,33000000,21000000,,,,,,,,,12000000,60000000,,4000000,28000000
Cameroon,Import,,0,,2000000,0,2000000,2000000,3000000,3000000,,,8000000,1000000,15000000,,,32000000,73000000,,2000000,,26000000,117000000,6000000,130000000,17000000,11000000,5000000,1000000,4000000,12000000,,3000000,,,,4000000,6000000,9000000,4000000,,6000000,6000000,,,5000000,2000000,,1000000,,9000000
Canada,Import,173000000,1747000000,1036000000,904000000,665000000,520000000,273000000,243000000,354000000,525000000,705000000,442000000,394000000,65000000,187000000,216000000,28000000,28000000,175000000,227000000,433000000,446000000,236000000,616000000,615000000,885000000,886000000,788000000,738000000,65000000,144000000,665000000,338000000,191000000,448000000,365000000,380000000,315000000,106000000,193000000,570000000,547000000,438000000,156000000,356000000,116000000,107000000,432000000,428000000,93000000,373000000
Cape Verde,Import,,,,,,,,,,,,,,,,,2000000,,,14000000,,,26000000,,,,,,,,,,4000000,,,,,,9000000,,1000000,,,,,,,,,2000000,
Cayman Islands,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,Import,,2000000,,,,1000000,2000000,,3000000,,,2000000,,0,,,,,0,,0,1000000,2000000,5000000,1000000,6000000,,,1000000,,,,1000000,,,,,,,,,,,,,,9000000,,0,,
Chad,Import,1000000,1000000,,,,0,,,,,,3000000,,3000000,9000000,10000000,9000000,3000000,,,10000000,,,39000000,9000000,1000000,21000000,15000000,9000000,57000000,,,,,3000000,1000000,,,7000000,,,15000000,,,,,9000000,18000000,79000000,35000000,17000000
Chile,Import,315000000,45000000,14000000,122000000,23000000,53000000,79000000,139000000,59000000,17000000,60000000,177000000,51000000,324000000,344000000,92000000,446000000,45000000,98000000,107000000,122000000,115000000,347000000,127000000,456000000,9000000,181000000,163000000,131000000,140000000,144000000,112000000,190000000,100000000,112000000,452000000,193000000,127000000,87000000,191000000,179000000,42000000,63000000,174000000,56000000,460000000,1121000000,780000000,525000000,347000000,434000000
China,Import,1819000000,1757000000,173000000,191000000,138000000,101000000,231000000,175000000,182000000,2000000,2000000,2000000,2000000,3000000,3000000,3000000,3000000,75000000,86000000,12000000,7000000,2000000,15000000,12000000,71000000,110000000,17000000,62000000,83000000,126000000,215000000,245000000,1253000000,1188000000,258000000,657000000,1346000000,810000000,343000000,1772000000,1994000000,3324000000,2863000000,2233000000,3141000000,3536000000,2860000000,1693000000,1618000000,993000000,559000000
Colombia,Import,5000000,64000000,4000000,22000000,9000000,13000000,31000000,15000000,32000000,121000000,4000000,37000000,126000000,165000000,1000000,287000000,3000000,8000000,12000000,36000000,13000000,21000000,17000000,287000000,658000000,11000000,6000000,4000000,37000000,217000000,8000000,69000000,36000000,69000000,40000000,37000000,57000000,199000000,156000000,44000000,63000000,275000000,166000000,147000000,18000000,15000000,54000000,218000000,112000000,312000000,172000000
Comoros,Import,,,,,,,,,,,,,,,,,1000000,1000000,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,6000000,,
"Congo, Dem. Rep.",Import,2000000,9000000,13000000,28000000,76000000,22000000,11000000,,,28000000,19000000,154000000,14000000,5000000,11000000,387000000,128000000,30000000,40000000,15000000,10000000,12000000,15000000,5000000,16000000,1000000,1000000,45000000,1000000,,3000000,,2000000,,,0,68000000,21000000,10000000,48000000,92000000,18000000,14000000,,,,17000000,,18000000,45000000,25000000
"Congo, Rep.",Import,1000000,0,,0,,0,,,1000000,24000000,9000000,24000000,2000000,,7000000,2000000,2000000,,38000000,23000000,18000000,2000000,11000000,28000000,25000000,2000000,,,25000000,42000000,42000000,,,,,,,27000000,0,1000000,0,,,,,4000000,0,0,,1000000,
Costa Rica,Import,,,,1000000,,,0,,,,,,,2000000,,3000000,,,6000000,2000000,1000000,,,,0,2000000,1000000,,,1000000,,,,3000000,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Import,,2000000,1000000,1000000,,,2000000,3000000,20000000,2000000,7000000,17000000,1000000,,18000000,,,17000000,25000000,38000000,58000000,20000000,,,10000000,,,,,2000000,,,0,,,2000000,,0,,2000000,,,33000000,63000000,10000000,,,,,,
Croatia,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000000,27000000,58000000,22000000,14000000,31000000,,,,62000000,2000000,24000000,8000000,,,14000000,99000000,4000000,10000000
Cuba,Import,127000000,545000000,1335000000,301000000,180000000,127000000,248000000,154000000,159000000,153000000,153000000,160000000,460000000,428000000,416000000,198000000,335000000,658000000,536000000,410000000,347000000,935000000,971000000,793000000,415000000,336000000,281000000,70000000,167000000,94000000,159000000,90000000,,,,,,,,,,,,,,,,,,,
Cyprus,Import,,,,,15000000,22000000,,,,,,,,1000000,,,,,,,,,4000000,14000000,24000000,30000000,34000000,30000000,129000000,29000000,71000000,82000000,23000000,,39000000,33000000,168000000,89000000,7000000,105000000,2000000,121000000,1000000,6000000,,20000000,26000000,12000000,,,
Czech Rep.,Import,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,,,,,0,24000000,6000000,0,2000000,16000000,65000000,47000000,104000000,7000000,621000000,52000000,17000000,21000000,6000000,73000000
Denmark,Import,173000000,318000000,48000000,149000000,472000000,494000000,66000000,79000000,67000000,20000000,311000000,362000000,109000000,,33000000,148000000,360000000,372000000,382000000,72000000,573000000,611000000,583000000,228000000,139000000,140000000,16000000,99000000,98000000,181000000,118000000,142000000,56000000,50000000,83000000,132000000,74000000,90000000,140000000,77000000,68000000,158000000,45000000,52000000,224000000,124000000,122000000,174000000,49000000,98000000,16000000
Djibouti,Import,,,,,,,,,,,,,,,,,,2000000,4000000,31000000,4000000,2000000,2000000,3000000,,1000000,8000000,1000000,,,,1000000,18000000,5000000,,3000000,,,,,1000000,,2000000,,4000000,8000000,,,,,
Dominica,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,Import,12000000,9000000,0,7000000,5000000,10000000,8000000,2000000,1000000,0,1000000,2000000,7000000,0,,2000000,12000000,,,,8000000,5000000,33000000,,11000000,3000000,1000000,,4000000,,,,,,,,4000000,,6000000,3000000,13000000,4000000,2000000,3000000,30000000,2000000,,,,10000000,33000000
Ecuador,Import,64000000,,,2000000,3000000,33000000,,15000000,4000000,1000000,5000000,81000000,35000000,15000000,26000000,45000000,204000000,540000000,157000000,105000000,256000000,123000000,241000000,415000000,368000000,23000000,24000000,41000000,27000000,20000000,3000000,172000000,4000000,18000000,3000000,12000000,30000000,86000000,26000000,17000000,,12000000,2000000,,15000000,48000000,17000000,2000000,140000000,69000000,116000000
Egypt,Import,137000000,323000000,847000000,803000000,896000000,998000000,1582000000,2245000000,1270000000,1272000000,1491000000,2200000000,3695000000,2631000000,1078000000,575000000,167000000,409000000,117000000,628000000,992000000,1167000000,2590000000,1829000000,1542000000,927000000,1411000000,1640000000,395000000,299000000,579000000,903000000,1026000000,1191000000,1888000000,1688000000,971000000,1041000000,501000000,507000000,788000000,851000000,716000000,629000000,612000000,641000000,774000000,692000000,250000000,174000000,681000000
El Salvador,Import,,,,0,,1000000,1000000,0,17000000,7000000,9000000,1000000,,3000000,30000000,40000000,15000000,8000000,4000000,6000000,12000000,5000000,29000000,12000000,60000000,41000000,5000000,,,,,18000000,3000000,3000000,,3000000,3000000,,3000000,,,,16000000,9000000,,,,,4000000,,
Equatorial Guinea,Import,,,,,,,,,,,,,,,,,,,4000000,,1000000,,5000000,,,,,,,,,,,,,,,,,3000000,,8000000,,,8000000,15000000,,28000000,41000000,30000000,
Eritrea,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000000,21000000,7000000,15000000,53000000,223000000,27000000,17000000,60000000,19000000,17000000,77000000,69000000,,4000000,,,
Estonia,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,3000000,15000000,17000000,1000000,14000000,3000000,1000000,27000000,,1000000,15000000,8000000,17000000,6000000,19000000,38000000,44000000,1000000
Ethiopia,Import,24000000,6000000,21000000,2000000,4000000,14000000,84000000,30000000,33000000,22000000,68000000,49000000,33000000,5000000,14000000,55000000,130000000,1090000000,1006000000,113000000,363000000,364000000,557000000,403000000,357000000,330000000,431000000,324000000,227000000,25000000,3000000,100000000,,,,,,69000000,210000000,149000000,143000000,,20000000,176000000,240000000,,,,,,
Faeroe Islands,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,Import,,,,,,,,,,,,,,,,8000000,4000000,,,,,,,,,,,,,,1000000,,3000000,,6000000,12000000,,,,,,,,,,,,,,,
Finland,Import,62000000,81000000,47000000,255000000,60000000,82000000,44000000,77000000,23000000,17000000,12000000,6000000,28000000,15000000,176000000,129000000,86000000,30000000,105000000,60000000,343000000,121000000,145000000,122000000,136000000,220000000,83000000,67000000,143000000,89000000,99000000,57000000,467000000,445000000,248000000,196000000,611000000,397000000,564000000,800000000,516000000,9000000,14000000,223000000,71000000,99000000,123000000,115000000,156000000,43000000,72000000
France,Import,261000000,227000000,208000000,116000000,1226000000,245000000,104000000,121000000,141000000,114000000,143000000,157000000,109000000,128000000,47000000,32000000,282000000,311000000,334000000,71000000,82000000,114000000,150000000,110000000,68000000,15000000,96000000,84000000,108000000,146000000,71000000,981000000,399000000,101000000,35000000,56000000,34000000,181000000,154000000,110000000,106000000,66000000,43000000,57000000,93000000,,60000000,69000000,8000000,78000000,120000000
French Polynesia,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,Import,,3000000,,,3000000,0,2000000,,2000000,4000000,1000000,24000000,,2000000,9000000,35000000,48000000,28000000,85000000,,26000000,36000000,5000000,11000000,96000000,2000000,7000000,10000000,36000000,9000000,38000000,,,,,,,,,,,,,,5000000,,17000000,17000000,17000000,,
Gambia,Import,,,,,,,,,,0,,,,,,,,,,,,4000000,,,,,,,,13000000,,,,,,,,,,,,,,,5000000,,,,,,
Georgia,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,,7000000,27000000,24000000,6000000,82000000,,1000000,45000000,74000000,98000000,175000000,94000000,34000000,
Germany,Import,2160000000,2102000000,2750000000,3505000000,3978000000,3606000000,3292000000,1539000000,1042000000,1335000000,1450000000,2555000000,737000000,1814000000,1925000000,1718000000,1921000000,1224000000,859000000,20000000,107000000,194000000,341000000,354000000,365000000,101000000,309000000,346000000,457000000,818000000,759000000,760000000,718000000,628000000,458000000,228000000,213000000,61000000,691000000,150000000,135000000,152000000,69000000,67000000,224000000,195000000,406000000,76000000,101000000,129000000,101000000
Ghana,Import,12000000,104000000,21000000,6000000,30000000,25000000,24000000,1000000,,,,,13000000,10000000,19000000,25000000,34000000,,18000000,6000000,51000000,60000000,,,,10000000,,13000000,,3000000,8000000,2000000,,,11000000,,6000000,4000000,,7000000,1000000,8000000,1000000,6000000,35000000,0,0,16000000,,6000000,
Gibraltar,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Import,254000000,79000000,347000000,123000000,717000000,541000000,202000000,365000000,104000000,286000000,270000000,589000000,708000000,230000000,417000000,912000000,1453000000,1031000000,1276000000,734000000,649000000,940000000,464000000,389000000,353000000,165000000,172000000,35000000,528000000,1168000000,899000000,486000000,2143000000,1004000000,1125000000,861000000,371000000,809000000,1701000000,903000000,710000000,763000000,495000000,2252000000,1543000000,389000000,603000000,1808000000,559000000,1266000000,703000000
Greenland,Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,Import,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
