ISO,Country,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010
4,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Albania,,,,,,,26000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Algeria,,,,,,,,,6000000,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Angola,,,,,,,,,,,,,,,,,,,,2000000,0,,,,,,,,,,,,20000000,,,,,,,,,,2000000,,,,,,,,
28,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Argentina,,,6000000,,4000000,,,0,8000000,,0,,7000000,,,,1000000,,,6000000,1000000,22000000,3000000,1000000,8000000,,,4000000,,,6000000,0,,10000000,4000000,4000000,,,,,2000000,6000000,,,,,2000000,,,,
51,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,,2000000,2000000,,,,,,,26000000,0,48000000,66000000,86000000,63000000,105000000,65000000,33000000,17000000,23000000,13000000,14000000,30000000,23000000,63000000,21000000,78000000,116000000,18000000,22000000,159000000,85000000,6000000,60000000,36000000,36000000,15000000,21000000,3000000,,,43000000,30000000,40000000,2000000,50000000,5000000,1000000,6000000,54000000,119000000
40,Austria,,,,,0,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,0,0,,,36000000,118000000,50000000,68000000,55000000,52000000,54000000,329000000,37000000,29000000,11000000,10000000,26000000,16000000,16000000,8000000,14000000,,,1000000,10000000,19000000,21000000,15000000,82000000,3000000,3000000,3000000,62000000,100000000,18000000,24000000,33000000
31,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,
50,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,8000000,131000000,359000000,63000000,467000000,295000000,51000000,65000000,75000000,10000000,24000000,35000000,6000000,225000000,42000000,
56,Belgium,3000000,0,3000000,1000000,1000000,,12000000,,,5000000,,,,,,,,,2000000,3000000,1000000,19000000,40000000,87000000,94000000,2000000,,,49000000,25000000,1000000,1000000,,,27000000,267000000,70000000,90000000,45000000,44000000,24000000,36000000,35000000,15000000,47000000,161000000,58000000,18000000,228000000,242000000,7000000
84,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,,,,,,
72,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Brazil,2000000,12000000,,,,,,,,3000000,,0,,,32000000,58000000,101000000,144000000,174000000,68000000,149000000,56000000,113000000,190000000,262000000,207000000,151000000,178000000,213000000,47000000,96000000,114000000,91000000,36000000,54000000,33000000,23000000,23000000,16000000,,,,26000000,,44000000,1000000,44000000,47000000,92000000,36000000,179000000
96,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,106000000,,,5000000,6000000,42000000,16000000,28000000,55000000,1000000,21000000,4000000,39000000,159000000,2000000,7000000,32000000,47000000,16000000,66000000,5000000,9000000,3000000,14000000,
854,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000000,0,,,,,1000000,,,,,,,,,,
120,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Canada,53000000,309000000,188000000,213000000,252000000,111000000,90000000,44000000,100000000,261000000,195000000,267000000,313000000,97000000,107000000,34000000,205000000,113000000,176000000,147000000,152000000,113000000,240000000,134000000,91000000,84000000,246000000,257000000,198000000,49000000,93000000,115000000,127000000,130000000,155000000,336000000,147000000,89000000,34000000,75000000,110000000,129000000,170000000,263000000,265000000,226000000,226000000,334000000,227000000,169000000,258000000
132,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000,,,,,,,,,,,,,,,,,,,,,,,
152,Chile,,,,,,,,,,,,,,,,0,,,0,,0,0,,1000000,,,3000000,3000000,5000000,5000000,,3000000,1000000,,,,30000000,,2000000,1000000,1000000,,2000000,,,,,,133000000,,
156,China,305000000,37000000,54000000,11000000,61000000,450000000,675000000,439000000,725000000,639000000,866000000,1271000000,1168000000,698000000,611000000,654000000,608000000,226000000,638000000,599000000,979000000,707000000,1590000000,1924000000,2189000000,1440000000,2099000000,3337000000,1960000000,1033000000,930000000,1317000000,735000000,1438000000,1136000000,1050000000,803000000,452000000,362000000,336000000,301000000,499000000,509000000,665000000,292000000,303000000,597000000,430000000,586000000,1000000000,1423000000
170,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000,,,,,,,,
174,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
384,Cote d'Ivoire,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,
192,Cuba,,,,,,,,,,,,,,,,1000000,,,13000000,11000000,9000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43000000,,,,,,,,,,,,,,
203,Czech Rep.,,,,,,,,,,,,,,45000000,90000000,90000000,90000000,90000000,45000000,,,,,,,,,,,,,,,145000000,262000000,124000000,106000000,22000000,20000000,54000000,78000000,87000000,59000000,64000000,1000000,66000000,42000000,31000000,34000000,21000000,3000000
208,Denmark,18000000,,,,60000000,20000000,,131000000,33000000,3000000,,,,,,28000000,,,,,20000000,24000000,64000000,234000000,,,,121000000,42000000,,80000000,10000000,,241000000,326000000,8000000,,,1000000,6000000,20000000,1000000,8000000,62000000,173000000,,9000000,6000000,15000000,14000000,11000000
262,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Egypt,,0,7000000,8000000,1000000,,14000000,,27000000,17000000,15000000,,,,,17000000,,69000000,89000000,13000000,27000000,75000000,78000000,69000000,38000000,5000000,18000000,61000000,65000000,59000000,17000000,,11000000,18000000,13000000,8000000,5000000,5000000,,,,,,,,,,,,,
222,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,
226,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,0,,,,,,,,,,,
233,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,
231,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,22000000,,51000000,,,,,,,,,,17000000,,,,,,,,,,,,,
234,Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,60000000,1000000,,,,1000000,86000000,33000000,33000000,33000000,2000000,43000000,30000000,,63000000,63000000,,,63000000,63000000,,,20000000,,,,,,1000000,,,12000000,3000000,8000000,14000000,20000000,8000000,10000000,24000000,20000000,9000000,24000000,25000000,33000000,23000000,27000000,97000000,30000000,67000000,41000000,34000000
250,France,1171000000,1084000000,1523000000,1695000000,1896000000,1699000000,1731000000,1596000000,1873000000,1326000000,1777000000,2348000000,2533000000,2839000000,2122000000,2388000000,2110000000,2800000000,3207000000,2968000000,3697000000,3650000000,3641000000,3130000000,2807000000,3773000000,2944000000,1732000000,1827000000,2115000000,1673000000,1029000000,1056000000,791000000,764000000,942000000,1899000000,3149000000,3362000000,1813000000,1056000000,1297000000,1368000000,1345000000,2219000000,1724000000,1643000000,2432000000,1994000000,1865000000,834000000
258,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Gabon,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48000000,72000000,,72000000,,17000000,,,,,,
276,Germany,151000000,13000000,134000000,129000000,426000000,299000000,653000000,721000000,588000000,746000000,1430000000,1387000000,1383000000,212000000,1169000000,1481000000,1723000000,1902000000,1615000000,1432000000,1621000000,1975000000,1679000000,2384000000,2938000000,1367000000,1481000000,1113000000,1616000000,1321000000,1789000000,2492000000,1404000000,1597000000,2763000000,1507000000,1939000000,895000000,1799000000,1825000000,1625000000,850000000,916000000,1713000000,1105000000,2080000000,2567000000,3194000000,2500000000,2432000000,2340000000
288,Ghana,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Greece,,,,,1000000,1000000,,,,,,,,,,,,,,,,,,,,,,,,,4000000,5000000,12000000,,25000000,,17000000,29000000,7000000,1000000,,2000000,,6000000,31000000,13000000,23000000,,,,
304,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Guyana,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Hungary,,,,,,,18000000,18000000,39000000,30000000,,,8000000,44000000,8000000,8000000,,,,,4000000,30000000,4000000,4000000,,,,,,,,,,21000000,,6000000,,24000000,,,,,34000000,,,82000000,,6000000,,,
352,Iceland,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,5000000,,,,,,,,,,,,,,,,,
356,India,,0,,,,,,,1000000,,,5000000,2000000,23000000,25000000,33000000,,,27000000,22000000,,,2000000,,,,,,1000000,,4000000,,1000000,7000000,2000000,2000000,,,,,16000000,2000000,0,4000000,26000000,19000000,33000000,21000000,11000000,22000000,4000000
360,Indonesia,,,,7000000,,,,,,6000000,6000000,,,,,,,,9000000,,4000000,,,,,8000000,4000000,,,,,,,16000000,16000000,25000000,,8000000,,49000000,,16000000,49000000,,25000000,8000000,8000000,,,,
364,Iran,,,3000000,,,,,28000000,,,23000000,5000000,106000000,6000000,123000000,84000000,,,,,0,0,0,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000,1000000,0,0,0,0,3000000,9000000,1000000,2000000,92000000,,2000000,5000000,5000000
368,Iraq,3000000,,,,,,,,,,,,,,,,,,,,28000000,,,,,,,,165000000,20000000,,,,,,,,,,,,,,,,,,,,,
372,Ireland,,,,,,,,,,,,,,,,,,,2000000,8000000,8000000,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,4000000,
