War,Start,End
Laotian Civil War,1960,1975
Vietnam War,1961,1975
Bay of Pigs Invasion,1961,1961
Guatemalan Civil War,1961,1996
Yemen Civil War,1962,1970
Cambodian Civil War,1967,1975
Northern Ireland Civil War,1969,1974
Cambodia-Vietnam War,1977,1991
Salvadoran Civil War,1977,1996
Soviet War in Afghanistan,1979,1989
Iran-Iraq War,1980,1988
Falklands War,1982,1982
Gulf War,1990,1991
Croatian War of Independence,1991,1995
Bosnian War,1992,1995
Kosovo War,1998,1999
Congo War,1998,2010
War in Afghanistan,2001,2010
Iraq War,2003,2010
War in Somalia,2006,2009
Gaza War,2008,2009
